wavelength transmission
2.7567149440965775 83.42854
2.758181663222157 83.34567
2.759649182357342 82.96935
2.761119026318987 82.54441
2.7625896736608073 82.43738
2.764062652455331 83.12756
2.7655364380167233 83.04073
2.7670125616836274 82.6785
2.768489495520307 83.02231
2.769968774142009 82.82796
2.771448866352699 82.76118
2.7729313100547603 83.19409
2.7744145707814196 83.02257
2.775900189732778 82.67397
2.7773866291608376 82.666
2.778875433574039 82.8469
2.7803650619326317 82.77389
2.781857062064066 82.7634
2.78334988962626 83.04982
2.784845095776393 82.87267
2.786341132859432 82.26913
2.787839555373045 82.72837
2.7893388123385843 83.35779
2.790840461605012 83.04253
2.7923429488593556 82.80485
2.793847835312728 82.73312
2.795353563307071 82.79156
2.796861697426552 82.78257
2.7983706766572234 82.8131
2.799882068967255 82.71396
2.801394309975961 82.35702
2.8029089710465107 82.07207
2.8044244844205806 83.09274
2.8059424248673843 83.23595
2.807461221240016 82.93311
2.8089824517248276 82.8869
2.810504541775339 82.89429
2.81202907300618 82.77435
2.813554467460258 82.59573
2.8150823101916678 82.66196
2.8166110198216185 82.86687
2.8181421848549095 82.61513
2.8196742204799143 82.64002
2.8212087186634243 82.90796
2.822744091149794 82.96843
2.824281933379143 82.80291
2.825820653640575 82.62984
2.8273618508589244 82.57221
2.8289039298567613 82.76263
2.8304484930550697 82.68659
2.8319939417985593 82.51872
2.8335418820158496 82.49615
2.8350907115624073 82.64156
2.8366420398860237 82.6923
2.8381942613414948 82.75736
2.839748988907372 82.9184
2.8413046134263005 82.79126
2.8428627514192284 82.74966
2.84442179020512 82.7459
2.84598334985901 82.68225
2.847545814164604 82.54854
2.8491108067627633 82.55303
2.850676707890303 82.75478
2.8522451447657025 82.59507
2.853814494067205 82.49889
2.8553863866027553 82.80446
2.856959195480291 82.86911
2.858534555109116 82.73352
2.8601108350150786 82.72877
2.861689673220795 82.77943
2.863269435658184 82.69392
2.8648517639751767 82.5603
2.8664350204978772 82.533
2.8680208505115834 82.68024
2.8696076127246433 82.67824
2.8711969560718353 82.49028
2.8727872356317543 82.61824
2.8743801040008212 82.71532
2.8759739126158337 82.62942
2.87757031774707 82.5955
2.879167667177431 82.65358
2.8807676208633257 82.62588
2.8823685229216034 82.62543
2.883972037007129 82.60413
2.885576503558493 82.65465
2.887183589941399 82.63626
2.8887916329039145 82.68375
2.8904023035350197 82.6593
2.892013934879944 82.60383
2.893628201763435 82.58353
2.8952434335155117 82.55333
2.8968613087092394 82.53638
2.8984801529470006 82.52807
2.900101648562782 82.46756
2.901724117418847 82.65856
2.9033492456227656 82.67317
2.9049753512841443 82.57874
2.906604124296856 82.6034
2.908233879005256 82.55808
2.9098663091022945 82.56389
2.9114997251544263 82.59983
2.9131358246665116 82.57947
2.9147729144143972 82.59283
2.916412695727747 82.57999
2.9180534715790345 82.53679
2.9196969471356753 82.48137
2.921341421553949 82.44943
2.9229886038520316 82.48774
2.9246367893571295 82.60381
2.926287690951245 82.60628
2.927939600119577 82.51589
2.9295942336210783 82.51119
2.9312498790859425 82.56431
2.9329082571632616 82.56114
2.9345676516151715 82.54243
2.9362297869941463 82.51222
2.9378929431811507 82.53026
2.939558848645348 82.55943
2.94122577937336 82.55328
2.942895467764406 82.5049
2.9445661858975307 82.54273
2.9462396701154363 82.53121
2.947914188576302 82.53614
2.949591481579801 82.55707
2.9512698133498922 82.51543
2.9529509281567705 82.4993
2.9546330862767634 82.48261
2.9563180359642 82.50745
2.9580040335343 82.48777
2.959692831239203 82.49002
2.9613826814194857 82.51762
2.9630753403388335 82.50824
2.9647690563495868 82.47892
2.9664655897407757 82.48249
2.9681631848628425 82.48501
2.969863606044029 82.48532
2.9715650936191587 82.47537
2.9732685319367693 82.45035
2.9749748094008015 82.44518
2.9766830463612433 82.48859
2.978392359113106 82.46297
2.9801045241860815 82.45377
2.981817769785181 82.45343
2.983533876535401 82.46552
2.98525106857062 82.50378
2.9869711306253253 82.50848
2.9886922827482216 82.48839
2.9904163137975415 82.47138
2.9921414397227117 82.47272
2.993869453520027 82.48456
2.9955985670254694 82.42096
2.9973305773877783 82.39432
2.9990636923152594 82.4509
3.0007997131235475 82.44514
3.002536843378971 82.40526
3.0042768885785804 82.40748
3.0060180481323613 82.43546
3.007762131733364 82.44175
3.0095073346208006 82.44462
3.011254563932699 82.43724
3.013004731020029 82.41421
3.0147569337148408 82.43746
3.016510265636911 82.44137
3.018266549155489 82.42691
3.0200239669102014 82.45322
3.021784345525327 82.4637
3.0235458634113157 82.521
3.0253094362124093 82.5076
3.0270759838451005 82.47498
3.028844595738597 82.40345
3.030614357050618 82.36142
3.032387107260384 82.40826
3.0341610120019276 82.44622
3.035937915069637 82.43771
3.037715977808877 82.46988
3.039496124490467 82.45294
3.0412792837179032 82.4183
3.0430645363997684 82.41219
3.0448509591128277 82.4111
