wavelength transmission
2.6756353965157875 70.46829
2.677016368884289 70.46493
2.6783994848902113 71.11603
2.6797833127213337 71.37564
2.681169290101445 71.31322
2.682555982260794 70.83657
2.6839448299036546 70.84908
2.6853343952935758 71.03941
2.686726122124598 71.08425
2.688118569684366 71.18703
2.6895131846660094 71.16777
2.6909085233720207 71.1114
2.6923060355039783 70.73618
2.693704274369942 70.38255
2.69510469268934 70.92179
2.6965058407664766 71.3471
2.6979091743480637 71.22439
2.6993132407252944 71.02968
2.7007194986816434 70.88437
2.7021264924857915 71.12419
2.7035356839674924 71.24113
2.704945614363478 71.13396
2.7063577485593378 71.1688
2.7077706247503777 70.91842
2.7091857108876214 70.58959
2.7106015421154295 70.79655
2.7120195894598984 71.54229
2.7134383850048884 71.43674
2.714859402861245 71.20152
2.7162811720427302 71.02041
2.7177051697546593 70.79602
2.7191299219310605 70.54962
2.7205569088814756 70.12747
2.721984653450524 71.43729
2.7234146390617733 70.87994
2.7248453854607155 70.69823
2.726278379194788 71.57713
2.7277121369005988 71.38567
2.729148148259336 71.18989
2.7305849267889224 71.11321
2.732023965314224 71.077
2.7334637742246395 70.94386
2.7349058494986784 70.89603
2.736348698387333 71.22743
2.737793820032766 70.71429
2.7392397185376405 69.95321
2.7406878962178234 70.67142
2.7421368540176827 71.54477
2.7435880974368847 71.44077
2.745040124251496 71.12504
2.7464944431551177 71.0948
2.747949548745465 71.0659
2.749406952920255 71.06544
2.7508651470887595 70.97554
2.752325646363036 70.96719
2.753786938953776 70.74998
2.7552505431976444 70.23608
2.7567149440965775 71.35355
2.758181663222157 71.41084
2.759649182357342 71.25108
2.761119026318987 70.968
2.7625896736608073 70.7233
2.764062652455331 70.97626
2.7655364380167233 71.06673
2.7670125616836274 70.96769
2.768489495520307 71.23792
2.769968774142009 71.01643
2.771448866352699 70.94279
2.7729313100547603 71.31271
2.7744145707814196 71.21605
2.775900189732778 71.00131
2.7773866291608376 71.08746
2.778875433574039 71.17219
2.7803650619326317 70.97961
2.781857062064066 70.99879
2.78334988962626 71.21768
2.784845095776393 71.10294
2.786341132859432 70.70956
2.787839555373045 70.85236
2.7893388123385843 71.26168
2.790840461605012 71.15479
2.7923429488593556 71.07123
2.793847835312728 71.05812
2.795353563307071 71.04543
2.796861697426552 70.97704
2.7983706766572234 70.9723
2.799882068967255 70.93187
2.801394309975961 70.67965
2.8029089710465107 70.48119
2.8044244844205806 71.09824
2.8059424248673843 71.27633
2.807461221240016 71.17888
2.8089824517248276 71.09992
2.810504541775339 71.07464
2.81202907300618 70.9901
2.813554467460258 70.88148
2.8150823101916678 70.93324
2.8166110198216185 71.11153
2.8181421848549095 70.89583
2.8196742204799143 70.8287
2.8212087186634243 71.1519
2.822744091149794 71.21485
2.824281933379143 71.04665
2.825820653640575 70.96362
2.8273618508589244 70.88814
2.8289039298567613 70.97858
2.8304484930550697 70.92845
2.8319939417985593 70.81516
2.8335418820158496 70.78452
2.8350907115624073 70.8705
2.8366420398860237 70.9602
2.8381942613414948 71.0361
2.839748988907372 71.08161
2.8413046134263005 70.97594
2.8428627514192284 70.93795
2.84442179020512 70.92657
2.84598334985901 70.90294
2.847545814164604 70.8907
2.8491108067627633 70.86453
2.850676707890303 70.97097
2.8522451447657025 70.92358
2.853814494067205 70.81932
2.8553863866027553 70.91921
2.856959195480291 71.007
