wavelength reflection
12.222598 94.95695041
12.295949 95.01964981
12.369299 94.99115008
 12.44265 94.94555052
12.516001 94.97120028
12.589351 95.03389968
12.662702  95.0310497
12.736053 94.99115008
12.809404 94.99685003
12.882754     94.9997
12.956105 95.04244959
13.029456 95.10514899
13.102806 95.11939886
13.176157  95.0310497
13.250323 95.06695936
13.328971 95.01181239
13.399469 94.95923039
13.463291 95.03894194
13.542911 95.11084894
13.616261  95.2191479
13.689612 95.12224883
13.762963 95.06809935
13.836314 95.08519919
13.909664 95.05384948
13.985238  94.9750866
14.050544  95.0090642
14.129716 95.17069837
14.203067 95.18114827
14.276418  95.2191479
14.349769  95.1877982
14.423119 95.23909771
 14.49647 95.26474747
14.569821 95.28469728
14.643171 95.29039722
14.716522 95.27044741
14.789873 95.14504861
14.863224  95.2191479
14.937828 95.06459169
15.009925 95.06952433
15.083276 95.27329739
15.156626 95.30464709
15.229977 95.33314681
15.303328 95.30464709
15.376679 95.26759744
15.450029  95.2818473
 15.52338 95.37874638
15.596731 95.27899733
15.670081 95.34169673
15.743432 95.43289586
15.816783  95.3559466
15.890133 95.32907542
15.963484 95.38444632
16.036835 95.39014627
16.110186 95.39014627
16.183536 95.39869619
16.256887  95.4385958
16.330238 95.46139559
16.403588 95.41009608
16.476939 95.40154616
16.552208 95.48067481
16.626086 95.72615805
16.690879 95.45427065
16.770342 95.41009608
16.843693 95.40154616
16.917043 95.43004589
16.990394 95.46709553
17.063745 95.44144578
17.137096 95.45284567
17.210446 95.47279548
17.283797 95.46709553
17.357148 95.46709553
17.430498 95.47564545
17.503849 95.50129521
  17.5772 95.48989531
17.650551 95.47279548
17.723901 95.52409499
17.797252 95.53264491
17.870603 95.52409499
17.943953 95.57824447
18.017304 95.59534431
18.090655 95.62384403
18.164006  95.6380939
18.237356 95.56114463
18.310707 95.56114463
18.384058 95.70934321
18.457408 95.71219319
18.530759 95.60104425
 18.60411 95.56114463
18.677461 95.59534431
18.750811 95.62099406
18.824162 95.70649324
18.897513 95.69224338
18.970863 95.68084349
19.044214 95.67799351
19.117565 95.60959417
19.190916 95.61814409
19.264266 95.75209281
19.337617 95.83759199
19.410968 95.67799351
19.484318 95.59249433
19.557669 95.69224338
 19.63102 95.80244232
19.704371 95.78914245
19.777721 95.65424374
19.851072 95.65234376
19.924423 95.84329193
19.997773 95.92594114
20.071124 95.92594114
20.144475 95.92879112
20.217826 95.94304098
20.291176 96.00194042
20.364527 96.02569019
20.437878  95.9495552
20.511228  95.8261921
20.584579 95.78344251
 20.65793 95.91942692
20.731281 96.06843978
20.807891 96.23658817
20.877982 96.43394878
20.951333 96.51873547
21.024683 96.47313591
21.098034 96.44178621
21.171385 96.44178621
21.244736 96.44463618
21.318086 96.45888605
21.391437 96.41898643
21.464788  96.3904867
21.538138 96.44178621
21.611489 96.52443542
 21.68484 96.61563455
 21.75819 96.58143487
21.831541 96.40473656
21.904892 96.33796577
21.974168 96.32315609
