wavelength      transmission
     10.39429566        97.95893379
     10.41215467        97.89959007
     10.43001369        97.87980883
      10.4478727        97.82046512
     10.46573171        97.77101202
     10.48359073        97.77101202
     10.50144974         97.7611214
     10.51930876        97.71166831
     10.53716777        97.69188707
     10.55502678        97.65232459
      10.5728858        97.59298087
     10.59074481        97.56330902
     10.60860383        97.52374654
     10.62646284        97.47429344
     10.64432185        97.40505911
     10.66218087        97.38527787
     10.68003988        97.31604354
      10.6978989        97.27648106
     10.71575791        97.28637168
     10.73361692        97.20724672
     10.75147594        97.17757487
     10.76933495        97.14790301
     10.78719397        97.10834053
     10.80505298        97.04899682
     10.82291199        97.01932496
     10.84077101        96.97976248
     10.85863002        96.89074691
     10.87648904        96.87096567
     10.89434805        96.80173133
     10.91220707        96.75227824
     10.93006608        96.72260638
     10.94792509         96.6830439
     10.96578411        96.62370019
     10.98364312        96.58413771
     11.01936115         96.4753409
     11.03722016        96.44566904
     11.05507918        96.36654409
     11.07293819        96.32698161
     11.09079721        96.28741913
     11.10865622        96.23796604
     11.12651523        96.19840356
     11.14437425        96.14895046
     11.16223326        96.08960675
     11.18009228        96.04015365
     11.19795129        95.98080994
      11.2158103        95.95113808
     11.23366932        95.92146622
     11.25152833        95.87201312
     11.26938735        95.85223189
     11.28426986        95.79783348
     11.30510537        95.75332569
     11.32296439         95.7038726
      11.3408234         95.6544195
     11.35868242        95.62474764
     11.37654143        95.54562269
     11.39440045        95.51595083
     11.41225946        95.48627897
     11.43011847         95.4467165
     11.44797749        95.38737278
      11.4658365         95.3478103
     11.48369552        95.32802906
     11.50155453        95.25879473
     11.51941354        95.21923225
     11.53727256        95.16977916
     11.56108458        95.12032606
     11.57894359        95.08076358
      11.5968026        95.05109173
     11.61466162        95.01152925
     11.63252063        94.93240429
     11.65037965        94.93240429
     11.66823866        94.92251367
     11.68609767        94.86316996
     11.70395669        94.82360748
      11.7218157        94.78404501
     11.73967472        94.74448253
     11.75753373        94.67524819
     11.77539275        94.65546695
     11.79325176        94.61590448
     11.81111077        94.54667014
     11.82896979        94.49721705
      11.8468288        94.43292802
     11.86468782        94.38842023
     11.88254683         94.3191859
     11.90040584         94.2697328
     11.91826486        94.23017033
     11.93612387        94.16093599
     11.95398289        94.13126413
      11.9718419        94.07192042
     11.98970091        94.03235794
     12.02541894        93.90377989
     12.04327796        93.87410803
     12.06113697        93.78509246
     12.07899598        93.72080344
       12.096855        93.68618627
     12.11471401        93.61695193
     12.13257303        93.56749884
     12.15043204        93.50815512
     12.16829105        93.47848326
     12.18615007        93.42903017
     12.20400908        93.35979583
      12.2218681        93.32023336
     12.23823886        93.23121778
     12.25758613        93.21143654
     12.27544514        93.08285849
     12.29330415        93.06307725
     12.31116317        92.96417106
     12.32902218        92.91471797
     12.34539294        92.80839381
     12.36474021        92.79603053
     12.38259922        92.68723372
     12.40045824        92.65756187
     12.41831725        92.58832753
     12.43617627        92.53887443
     12.45403528        92.49931196
     12.47189429          92.420187
     12.48975331        92.36084329
     12.50761232        92.29160895
     12.52547134        92.24215586
